Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
10-12-2014,142.9191303,86.72257827,104.4046957,112.1317797,81.22818606,88.99202584,23.41160849,36.46084011,85.38177979,,76.54937562,181.7814385,90.78098661,137.8660064,32.26759538,95.2327366,54.41722782,80.26531606,52.50508756,42.73296113,46.46382705,27.35548216,78.35253395,95.12968476,103.2266346,93.17089177,37.94437054,63.61741148,74.7178782,63.05424024
11-12-2014,143.7410237,87.07788371,104.0969373,110.9892302,80.94001898,89.03445958,23.51616349,36.39948774,86.5651789,,77.00692799,183.2394771,92.00130915,138.3470043,32.51567135,95.66300499,54.8297513,81.1303978,52.33876601,42.97897178,46.24972996,27.17517296,78.70947327,95.41253727,103.7177569,93.77266158,38.09226977,63.95771553,75.48324572,67.5508449
12-12-2014,141.9075692,85.08630321,102.3343212,108.6501527,79.02763748,86.88731266,23.39853911,35.85608099,86.31987158,,74.76233144,178.7706834,91.55171663,133.4597226,32.09482819,93.61026622,53.8432821,80.8182549,50.90990182,42.77851866,45.88709925,26.57414228,77.96077128,94.12601458,101.9988288,92.86060421,37.45137308,62.41662433,75.46523707,68.92943357
15-12-2014,141.6637108,84.18868946,100.9307565,109.8286879,78.37271231,85.59732717,23.24606306,35.55808374,85.76321267,,75.02132335,175.6652505,91.79945128,131.4670173,31.82460258,93.18896176,53.05410675,78.89188732,50.23075032,42.5233965,45.53401145,26.4968669,77.65606698,94.06214466,101.7805522,92.3998742,37.3199071,62.39717838,75.58229328,67.94869264
16-12-2014,143.6507057,82.50566368,99.55050687,111.780918,78.01468655,86.31021389,23.16329035,35.40032049,85.07446519,,74.59830323,173.5539348,89.05601941,130.0497915,31.50564777,92.11329079,52.39944992,79.1237649,50.09844808,41.14755916,44.47474806,26.33373,77.79536038,94.05302038,102.9810734,90.12443209,37.41028996,61.59746386,74.69986956,66.97720397
17-12-2014,145.050634,84.56269519,102.0358889,112.5096307,78.37271231,89.97648846,23.35933098,36.41701699,86.21608772,,76.85153285,175.1823936,90.78098661,130.4964324,32.10811797,93.28756493,53.60114876,81.73684685,50.83052047,41.67602648,45.09026598,26.72010687,78.96194255,95.26654888,103.5904289,93.21790504,38.15800276,62.97569527,75.84341867,66.60711306
18-12-2014,149.2955779,87.11528428,105.0575165,113.0584142,80.06678542,92.53099922,24.09121603,37.15324549,87.37658003,,78.69900847,181.4121949,92.36832345,135.4352495,32.79918674,95.74368031,55.13465996,83.53835728,52.02124063,43.29787447,46.32130181,27.44992984,80.09370137,96.67168713,106.3734553,96.13272757,38.65921684,64.21051282,77.38315803,68.81840629
19-12-2014,149.4581502,86.86283042,104.2461535,113.5622156,80.08425009,95.84083043,24.19577103,36.76760199,87.64075715,,80.84000827,182.9933147,93.52441848,136.148157,32.2232961,94.61422579,55.53821554,83.1370307,52.55044959,43.42543555,45.2524955,27.42417138,80.13723056,96.48920164,105.1274598,96.3677939,38.63456697,63.60525776,76.68082078,67.7543949
22-12-2014,151.0748416,87.53604073,105.3279708,115.3525095,80.61692256,95.07702322,24.58785231,37.11818699,88.87672864,,80.57238329,184.0915776,94.9649496,138.6648064,32.967524,95.68093284,55.54718344,83.73456139,52.00360033,43.71700373,45.77258429,27.55296367,80.6160516,97.00016101,106.5371628,96.88493983,39.03718155,64.22266654,77.77934827,68.71663129
23-12-2014,150.7135697,87.72304359,104.9549304,116.9808674,81.64733817,96.70647859,24.61399106,37.66159374,89.33903859,,81.66014932,185.0951626,95.2035089,139.3519462,33.16244083,93.47580735,56.03145013,84.02886755,50.4600742,44.14524449,45.79167011,27.00344991,81.21675436,97.58411457,106.6008268,96.70628942,39.16864754,64.47789457,78.03146933,70.78914043
